City,latitude,longitude,name,desc
Caucedo,42.49029,-6.76276,Caucedo,"Carucedo, Castilla y León, ES"
Buenos Aires,-34.612869,-58.445979,Buenos Aires,"Buenos Aires, AR"
Rio Grande,-32.032469,-52.098946,Rio Grande,"Rio Grande, RS, BR"
Wilmington,39.744432,-75.5451,Wilmington,"Wilmington, New Castle County, DE, US"
Jacksonville,30.325968,-81.65676,Jacksonville,"Jacksonville, Duval County, FL, US"
Cape Town,-33.928905,18.417249,Cape Town,"Cape Town, Cape Town, WESTERN CAPE, ZA"
Alexandria,38.804665,-77.043614,Alexandria,"Alexandria, Alexandria City, VA, US"
Miami,25.775084,-80.194702,Miami,"Miami, Miami-Dade, FL, US"
Seattle,47.603229,-122.33028,Seattle,"Seattle, King County, WA, US"
New Orleans,29.950621,-90.074948,New Orleans,"New Orleans, Orleans Parish, LA, US"
Leghorn,43.542631,10.31603,Leghorn,"Livorno, Livorno, TUSCANY, IT"
Pointe Noire,-4.788889,11.865278,Pointe Noire,"Pointe-Noire, CG"
Rio de Janeiro,-22.911014,-43.209373,Rio de Janeiro,"Rio de Janeiro, Rio de Janeiro, RJ, BR"
Veracruz,19.20022,-96.138569,Veracruz,"Veracruz, VER, MX"
Lirquen,49.261111,3.041944,Lirquen,"Largny-Sur-Automne, Aisne, FR"
Freeport,42.290254,-89.631818,Freeport,"Freeport, Stephenson County, IL, US"
Tacoma,47.25308,-122.44153,Tacoma,"Tacoma, Pierce County, WA, US"
Luanda,-8.81696,13.238161,Luanda,"Luanda, LUANDA, AO"
Cristobal,40.469292,-5.889882,Cristobal,"Cristóbal, Salamanca, CASTILE AND LEÓN, ES"
Tauranga,-37.686732,176.167361,Tauranga,"Tauranga, BAY OF PLENTY, NZ"
Salvador,-12.981636,-38.482077,Salvador,"Salvador, BA, BR"
Constantza,44.171786,28.631977,Constantza,"Constanța, CONSTANȚA, RO"
Surabaya,-7.246041,112.737944,Surabaya,"Surabaya, EAST JAVA, ID"
Odessa,46.484612,30.732559,Odessa,"Odessa, UA"
Suape,-7.98683,-34.83903,Suape,"Rua Suape, Olinda, Pernambuco, BR"
Adelaide,-34.928634,138.599888,Adelaide,"Adelaide, SA, AU"
Altamira,-15.618195,-47.65557,Altamira,"Planaltina, DF, BR"
Iskenderun,36.57806,36.174845,Iskenderun,"Iskenderun, TR"
Pipavav,20.938859,71.477041,Pipavav,"Pipavav, IN"
Fremantle,-32.055871,115.746169,Fremantle,"Fremantle, WA, AU"
Port Qasim,34.2249,-5.71041,Port Qasim,"Seedi Qasim, Ribat-Sala-Qunaytira, MA"
Cotonou,6.367682,2.425229,Cotonou,"Cotonou, BJ"
Taichung,24.163292,120.64791,Taichung,"Taichung City, TW"
Naples,40.844116,14.2423,Naples,"Naples, Province of Naples, CAMPANIA, IT"
Port Everglades,26.096701,-80.127502,Port Everglades,"Port Everglades, Broward County, FL, US"
Valparaiso,-33.046248,-71.619803,Valparaiso,"Valparaiso, CL"
Iquique,-20.213962,-70.152472,Iquique,"Iquique, TARAPACÁ, CL"
Gemlik,40.430165,29.15707,Gemlik,"Gemlik, TR"
Bahrain,26.066799,50.511398,Bahrain,BH
Itajai,-26.911788,-48.666985,Itajai,"Itajaí, SC, BR"
Puerto Quetzal,37.334807,-121.888128,Puerto Quetzal,"San Jose, Santa Clara County, CA, US"
Pointe des Galets,45.950281,-74.401479,Pointe des Galets,"[1 - 399] Ch des Galets, Saint-Adolphe-d'Howard, Les Pays-d'en-Haut, QC, CA"
Mobile,30.688943,-88.044822,Mobile,"Mobile, Mobile County, AL, US"
Sepetiba,-22.9666,-43.699902,Sepetiba,"Sepetiba, Rio de Janeiro, RJ, BR"
Ensenada,31.860742,-116.624825,Ensenada,"Ensenada, BCN, MX"
Port Elizabeth,-33.94346,25.53274,Port Elizabeth,"Port Elizabeth, EASTERN CAPE, ZA"
Philadelphia,39.951061,-75.16562,Philadelphia,"Philadelphia, Philadelphia County, PA, US"
Onne,40.118804,9.251971,Onne,"Fonni, Province of Nuoro, SARDINIA, IT"
Chennai,13.079691,80.282953,Chennai,"Chennai, TAMIL NADU, IN"
Civitavecchia,42.093752,11.792246,Civitavecchia,"Civitavecchia, Province of Rome, LAZIO, IT"
Auckland,-36.541281,174.550609,Auckland,"AUCKLAND, NZ"
Boston,42.358894,-71.056742,Boston,"Boston, Suffolk County, MA, US"
Cochin,9.963386,76.253661,Cochin,"Kochi, KERALA, IN"
Ulsan,35.549999,129.316605,Ulsan,"Ulsan, KR"
Izmir,38.415342,27.144474,Izmir,"Izmir, TR"
Penang,5.406501,100.255908,Penang,"PENANG ISLAND, MY"
Tampa,27.947423,-82.458776,Tampa,"Tampa, Hillsborough County, FL, US"
Novorossijsk,44.723958,37.769071,Novorossijsk,"Novorossiysk, RU"
Abidjan,5.320357,-4.016107,Abidjan,"Abidjan, LAGUNES, CI"
Pasir Gudang,1.458404,103.880446,Pasir Gudang,"Pasir Gudang, MY"
Khor Fakkan,25.357023,56.345803,Khor Fakkan,"Khor Fakkan, SHARJAH, AE"
Limassol,34.673564,33.042341,Limassol,"Limassol, CY"
Visakhapatnam,17.723128,83.301284,Visakhapatnam,"Visakhapatnam, ANDHRA PRADESH, IN"
Liverpool,53.405472,-2.980539,Liverpool,"Liverpool, Merseyside, GB"
Hakata,33.585459,130.430394,Hakata,"Hakata Ward, JP"
Casablanca,33.593916,-7.617629,Casablanca,"Casablanca, MA"
Bangkok,13.752753,100.494086,Bangkok,"Bangkok, TH"
St Petersburg,27.772069,-82.638488,St Petersburg,"St Petersburg, Pinellas County, FL, US"
Mombasa,-4.05052,39.667169,Mombasa,"Mombasa, KE"
Shantou,23.365298,116.694882,Shantou,"Shantou, Nan'ao County, CN"
Naha,26.2111,127.689027,Naha,"Naha, JP"
Fort de France,47.414097,-1.789825,Fort de France,"Fay-De-Bretagne, Loire-Atlantique, FR"
Napier,-39.490858,176.917911,Napier,"Napier, HAWKE'S BAY, NZ"
Dakar,14.693004,-17.447026,Dakar,"Dakar, SN"
Tin Can Island,6.43605,3.35602,Tin Can Island,"Tin Can Island Road, Apapa, Lagos, NG"
Castellon,40.251857,-0.061505,Castellon,"Castellón Province, ES"
Gdynia,54.503558,18.46255,Gdynia,"Gdynia, POMERANIAN VOIVODESHIP, PL"
Pointe-a-Pitre,44.0834,2.00252,Pointe-a-Pitre,"Saint-Marcel-Campes, Tarn, FR"
Leixoes,40.95902,-5.72919,Leixoes,"Glorieta del Puerto de Leixões, Salamanca, Castilla y León, ES"
Lisbon,38.713057,-9.138006,Lisbon,"Lisbon, PT"
Yingkou,40.674716,122.235774,Yingkou,"Yingkou, LIAONING PROVINCE, CN"
Lyttelton,52.48084,-1.81188,Lyttelton,"Lyttelton Road, Birmingham, ENG, GB"
Pecem,48.858007,4.483522,Pecem,"Pogny, Marne, FR"
Tilbury,51.463117,0.36439,Tilbury,"Tilbury, Essex, GB"
Lagos,6.455058,3.39418,Lagos,"Lagos, NG"
Yokkaichi,34.965418,136.624654,Yokkaichi,"Yokkaichi, JP"
Fuzhou,26.077154,119.291477,Fuzhou,"Fuzhou, Minhou County, CN"
Klaipeda,55.710121,21.130698,Klaipeda,"Klaipėda, KLAIPĖDA COUNTY, LT"
Moji,47.63143,-122.52893,Moji,"Northwest Moji Lane, Bainbridge Island, WA, US"
